origin_id,destination_id,origin,destination,origin_station,destination_station
6,12,DELN,19TH,Del Norte,19th Street Oakland
6,13,DELN,12TH,Del Norte,12th Street Oakland
6,14,DELN,LAKE,Del Norte,Lake Merritt
6,15,DELN,FTVL,Del Norte,Fruitvale
6,16,DELN,COLS,Del Norte,Coliseum
6,17,DELN,SANL,Del Norte,San Leandro
6,18,DELN,BAYF,Del Norte,Bay Fair
6,19,DELN,HAYW,Del Norte,Hayward
6,20,DELN,SHAY,Del Norte,South Hayward
6,21,DELN,UCTY,Del Norte,Union City
6,22,DELN,FRMT,Del Norte,Fremont
6,23,DELN,CAST,Del Norte,Castro Valley
6,24,DELN,DUBL,Del Norte,Dublin/Pleasanton
6,25,DELN,PITT,Del Norte,Pittsburg/Bay Point
6,26,DELN,NCON,Del Norte,North Concord/Martinez
6,27,DELN,COLM,Del Norte,Colma
6,28,DELN,CONC,Del Norte,Concord
6,29,DELN,PHIL,Del Norte,Pleasant Hill
6,30,DELN,WCRK,Del Norte,Walnut Creek
6,31,DELN,LAFY,Del Norte,Lafayette
6,32,DELN,ORIN,Del Norte,Orinda
6,33,DELN,ROCK,Del Norte,Rockridge
6,34,DELN,WOAK,Del Norte,West Oakland
6,35,DELN,EMBR,Del Norte,Embarcadero
6,36,DELN,MONT,Del Norte,Montgomery Street
6,37,DELN,POWL,Del Norte,Powell Street
6,38,DELN,CIVC,Del Norte,Civic Center
6,39,DELN,16TH,Del Norte,16th Street Mission
6,40,DELN,24TH,Del Norte,24th Street Mission
6,41,DELN,GLEN,Del Norte,Glen Park
6,42,DELN,BALB,Del Norte,Balboa Park
6,43,DELN,DALY,Del Norte,Daly City
6,44,DELN,OAKL,Del Norte,Oakland City Center/12th St
6,45,DELN,WARM,Del Norte,Warm Springs/South Fremont
6,46,DELN,MLPT,Del Norte,Milpitas
6,47,DELN,BERY,Del Norte,Berryessa/North San Jose
6,48,DELN,PCTR,Del Norte,Pittsburg Center
6,49,DELN,ANTC,Del Norte,Antioch
7,0,PLZA,SSAN,El Cerrito Plaza,South San Francisco
7,1,PLZA,SBRN,El Cerrito Plaza,San Bruno
7,2,PLZA,SFIA,El Cerrito Plaza,San Francisco International Airport
7,3,PLZA,MLBR,El Cerrito Plaza,Millbrae
7,4,PLZA,WDUB,El Cerrito Plaza,West Dublin/Pleasanton
7,5,PLZA,RICH,El Cerrito Plaza,Richmond
7,6,PLZA,DELN,El Cerrito Plaza,Del Norte
7,7,PLZA,PLZA,El Cerrito Plaza,El Cerrito Plaza
7,8,PLZA,NBRK,El Cerrito Plaza,North Berkeley
7,9,PLZA,DBRK,El Cerrito Plaza,Downtown Berkeley
7,10,PLZA,ASHB,El Cerrito Plaza,Ashby
7,11,PLZA,MCAR,El Cerrito Plaza,MacArthur
7,12,PLZA,19TH,El Cerrito Plaza,19th Street Oakland
7,13,PLZA,12TH,El Cerrito Plaza,12th Street Oakland
7,14,PLZA,LAKE,El Cerrito Plaza,Lake Merritt
